               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2015,              1.2435,              1.1008,             0.77166,             0.77093,             0.81244,             0.54641,               1.066,             0.66033,              1.0271,            0.070063,           0.0033263,           0.0033263
                   1,              1.1434,             0.79254,              1.0545,              0.7513,             0.73395,             0.79622,             0.52849,              1.1196,             0.69022,              1.0415,              0.0398,           0.0063959,           0.0063959
                   2,              1.1911,             0.83163,              1.0743,             0.66698,             0.75394,             0.70206,             0.44693,              1.1239,             0.74937,              1.0682,            0.009272,           0.0092015,           0.0092015
                   3,              1.2242,             0.84813,              1.0938,             0.75803,             0.72707,             0.77693,             0.51616,               1.137,             0.73307,              1.0718,            0.008812,            0.008812,            0.008812
                   4,              1.2031,             0.81646,              1.0925,             0.77683,             0.75918,             0.82025,             0.54933,              1.0728,             0.65908,              1.0646,            0.008812,            0.008812,            0.008812
                   5,              1.1617,             0.77617,              1.0749,             0.77014,              0.8048,             0.81487,             0.54739,              1.0955,             0.65232,              1.0472,            0.008416,            0.008416,            0.008416
                   6,              1.1353,             0.74233,              1.0636,             0.81565,             0.80094,             0.85302,             0.56505,              1.0551,             0.62342,              1.0438,             0.00802,             0.00802,             0.00802
                   7,              1.1151,             0.70991,              1.0537,             0.84105,             0.83453,             0.87858,             0.61349,              1.0266,              0.5969,              1.0143,            0.007624,            0.007624,            0.007624
                   8,                1.09,             0.68996,              1.0414,             0.88096,             0.84259,               0.897,             0.64692,              1.0188,             0.56075,              1.0107,            0.007228,            0.007228,            0.007228
                   9,              1.0625,             0.65713,              1.0296,             0.86275,             0.84744,             0.89565,             0.64342,              1.0073,             0.55276,             0.99927,            0.006832,            0.006832,            0.006832
                  10,              1.0497,             0.64496,              1.0215,             0.86666,             0.84723,             0.90133,             0.65014,              1.0058,              0.5441,              1.0027,            0.006436,            0.006436,            0.006436
                  11,              1.0312,             0.62543,              1.0146,             0.86089,             0.85465,             0.90656,             0.65608,              1.0003,             0.54225,              1.0181,             0.00604,             0.00604,             0.00604
                  12,             0.99685,             0.60192,              1.0069,             0.85338,             0.84866,             0.90324,             0.66426,             0.97616,             0.52601,              1.0015,            0.005644,            0.005644,            0.005644
                  13,             0.98986,             0.59162,             0.99592,             0.88253,             0.85073,             0.91488,             0.67776,             0.97261,             0.51947,              1.0054,            0.005248,            0.005248,            0.005248
                  14,             0.97404,              0.5772,             0.99024,             0.88504,             0.86317,              0.9166,             0.68038,             0.96931,             0.51475,             0.99352,            0.004852,            0.004852,            0.004852
                  15,              0.9106,             0.50195,             0.99138,             0.88597,             0.86866,             0.91771,             0.68164,             0.97271,             0.52342,             0.99818,            0.004456,            0.004456,            0.004456
                  16,             0.88678,             0.47998,               0.977,              0.8951,              0.8655,             0.92073,             0.68796,              0.9711,             0.51201,               1.006,             0.00406,             0.00406,             0.00406
                  17,             0.86266,             0.46373,             0.96114,             0.90267,             0.86841,             0.92512,             0.70048,             0.95309,             0.50104,             0.97496,            0.003664,            0.003664,            0.003664
                  18,             0.83731,             0.44468,             0.94909,              0.9056,             0.87366,             0.92872,             0.70391,             0.94939,             0.49701,             0.99221,            0.003268,            0.003268,            0.003268
                  19,              0.8098,             0.42699,             0.94404,             0.89906,             0.87975,              0.9346,             0.72192,             0.93007,              0.4772,             0.99123,            0.002872,            0.002872,            0.002872
                  20,             0.78785,             0.40934,             0.93217,             0.90747,             0.88863,             0.93953,             0.72813,             0.91825,             0.46996,             0.97021,            0.002476,            0.002476,            0.002476
                  21,             0.76241,             0.39048,             0.92401,             0.91406,             0.89704,             0.94085,             0.73296,             0.90744,              0.4591,             0.96652,             0.00208,             0.00208,             0.00208
                  22,             0.74186,             0.38024,              0.9157,             0.91655,             0.89711,             0.94156,             0.74039,             0.89988,             0.45898,             0.96019,            0.001684,            0.001684,            0.001684
                  23,             0.71653,             0.36799,             0.90726,             0.90941,              0.9024,             0.94369,             0.74844,             0.89139,              0.4509,             0.96602,            0.001288,            0.001288,            0.001288
                  24,             0.69824,              0.3518,             0.90109,             0.90564,             0.90996,             0.94404,             0.74907,             0.88692,             0.44949,             0.96483,            0.000892,            0.000892,            0.000892
